,Date,Symbol,_id,close,exchange,frequency,high,industry,logo_url,low,open,processing_time,sector,sentiment_change,st_id,title,trending,trending_score,utcDate,volume,volume_change,vwap,watchlist_count,watchlist_member,watchlist_number
5582,2020-06-12 10:28:01 -04:00,MSFT,5ee390f10aa701fddac378e7,190.38,NASDAQ,1m,190.54,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.27,190.35,0.9465899467468262,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:28:01.096,87812.0,5.11,190.77,208070,True,1.0
5583,2020-06-12 10:29:01 -04:00,MSFT,5ee3912d0aa701fddac37b1a,190.16,NASDAQ,1m,190.44,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.16,190.4,1.4378502368927002,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:29:01.679,75659.0,5.11,190.77,208070,True,1.0
5584,2020-06-12 10:30:01 -04:00,MSFT,5ee391690aa701fddac37d4d,190.07,NASDAQ,1m,190.31,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.07,190.13,0.736149787902832,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:30:01.485,52345.0,5.11,190.77,208070,True,1.0
5585,2020-06-12 10:31:01 -04:00,MSFT,5ee391a50aa701fddac37f80,190.28,NASDAQ,1m,190.29,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.96,190.07,0.8516316413879395,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:31:01.831,83030.0,5.11,190.76,208070,True,1.0
5586,2020-06-12 10:32:01 -04:00,MSFT,5ee391e10aa701fddac381b3,190.25,NASDAQ,1m,190.46,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.19,190.29,0.9028346538543701,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:32:01.712,86994.0,5.11,190.76,208070,True,1.0
5587,2020-06-12 10:33:01 -04:00,MSFT,5ee3921d0aa701fddac383e6,190.27,NASDAQ,1m,190.32,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.1,190.23,0.7033679485321045,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:33:01.555,54392.0,5.11,190.75,208070,True,1.0
5588,2020-06-12 10:34:00 -04:00,MSFT,5ee392580aa701fddac38619,190.19,NASDAQ,1m,190.47,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.13,190.33,0.7742114067077637,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:34:00.795,73733.0,5.11,190.75,208070,True,1.0
5589,2020-06-12 10:35:01 -04:00,MSFT,5ee392950aa701fddac3884c,190.41,NASDAQ,1m,190.41,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.19,190.19,0.6637613773345947,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:35:01.392,55801.0,5.11,190.75,208070,True,1.0
5590,2020-06-12 10:36:01 -04:00,MSFT,5ee392d10aa701fddac38a7f,190.27,NASDAQ,1m,190.39,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.18,190.35,0.7458715438842773,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:36:01.245,59531.0,5.11,190.75,208070,True,1.0
5591,2020-06-12 10:37:00 -04:00,MSFT,5ee3930c0aa701fddac38cb2,190.32,NASDAQ,1m,190.33,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.18,190.32,0.6393542289733887,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:37:00.864,58530.0,5.11,190.74,208070,True,1.0
5592,2020-06-12 10:38:01 -04:00,MSFT,5ee393490aa701fddac38ee5,189.92,NASDAQ,1m,190.31,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.92,190.27,0.9973254203796387,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:38:01.885,84765.0,5.11,190.74,208070,True,1.0
5593,2020-06-12 10:39:01 -04:00,MSFT,5ee393850aa701fddac39118,189.86,NASDAQ,1m,190.0,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.78,189.92,0.7752327919006348,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:39:01.552,105974.0,5.11,190.73,208070,True,1.0
5594,2020-06-12 10:40:01 -04:00,MSFT,5ee393c10aa701fddac3934b,189.68,NASDAQ,1m,189.95,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.56,189.86,0.9015958309173584,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:40:01.588,111032.0,5.11,190.72,208070,True,1.0
5595,2020-06-12 10:41:01 -04:00,MSFT,5ee393fd0aa701fddac3957e,189.77,NASDAQ,1m,189.79,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.63,189.69,0.6344807147979736,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:41:01.247,121585.0,5.11,190.71,208070,True,1.0
5596,2020-06-12 10:42:00 -04:00,MSFT,5ee394380aa701fddac397b1,189.8,NASDAQ,1m,189.88,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.59,189.79,0.7550499439239502,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:42:00.966,95334.0,5.11,190.7,208070,True,1.0
5597,2020-06-12 10:43:00 -04:00,MSFT,5ee394740aa701fddac399e4,189.87,NASDAQ,1m,189.97,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.76,189.79,0.6639885902404785,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:43:00.702,71819.0,5.11,190.7,208070,True,1.0
5598,2020-06-12 10:44:01 -04:00,MSFT,5ee394b10aa701fddac39c17,189.97,NASDAQ,1m,189.98,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.83,189.85,0.7070462703704834,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:44:01.277,62944.0,5.11,190.69,208070,True,1.0
5599,2020-06-12 10:45:01 -04:00,MSFT,5ee394ed0aa701fddac39e4a,189.96,NASDAQ,1m,190.06,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.84,189.99,0.6929612159729004,Technology,0.16,2735,Microsoft Corporation,False,0.0230898,2020-06-12 10:45:01.233,97813.0,5.11,190.69,208070,True,1.0
5600,2020-06-12 10:46:00 -04:00,MSFT,5ee395280aa701fddac3a07d,190.22,NASDAQ,1m,190.22,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.63,189.96,0.7697734832763672,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:46:00.999,105404.0,5.11,190.68,208070,True,1.0
5601,2020-06-12 10:47:01 -04:00,MSFT,5ee395650aa701fddac3a2b0,190.27,NASDAQ,1m,190.38,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,190.17,190.22,0.9558620452880859,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:47:01.755,70835.0,5.11,190.68,208070,True,1.0
